percent_speed,rotation_speed(°/s)
0,9.396447264616729
10,68.01303019326254
20,126.46402678977971
30,184.93331514247055
40,243.4667506554818
50,302.04659523815087
60,360.56401875649215
70,418.7610028871896
80,477.4776624940972
90,535.9114181775032
100,594.2184682228403
