rotation_speed(°/s),steps,waiting_time(s)
7.4901584719954775,180,0.2
7.565572960328151,180,0.198001
7.6426640069238045,180,0.196002
7.7213777874292635,180,0.19400300000000004
7.801737368868667,180,0.19200400000000004
7.883888307849022,180,0.190005
7.967649684302363,180,0.188006
8.053219027557873,180,0.186007
8.140732231505032,180,0.184008
8.230190645120524,180,0.182009
8.321374418024016,180,0.18001000000000003
8.414482854127876,180,0.17801100000000003
8.510468906143052,180,0.176012
8.608274012886971,180,0.174013
8.708047945546362,180,0.172014
8.810489726307898,180,0.170015
8.915023649204175,180,0.16801600000000003
9.022557643733567,180,0.16601700000000003
9.13246676698654,180,0.16401800000000002
9.24499413106843,180,0.162019
9.360635910644467,180,0.16002
9.47888331716137,180,0.158021
9.598572361587019,180,0.156022
9.724708853087002,180,0.15402300000000002
9.852680648781737,180,0.152024
9.981645800718939,180,0.150025
10.118741466954562,180,0.14802600000000002
10.256850815329045,180,0.14602700000000002
10.399562623977015,180,0.144028
10.545492971952694,180,0.14202900000000002
10.695977334119728,180,0.14003000000000002
10.850948128397574,180,0.138031
11.01023962702223,180,0.13603200000000001
11.173270202380262,180,0.134033
11.339234572796645,180,0.132034
11.51748272865516,180,0.130035
11.696872360316046,180,0.128036
11.882718725143995,180,0.126037
12.074354832542744,180,0.12403800000000001
12.27192090432816,180,0.12203900000000001
12.475868356695619,180,0.12004000000000002
12.687306503289383,180,0.11804100000000002
12.905858380450102,180,0.116042
13.132167853343939,180,0.11404300000000002
13.365989371033331,180,0.11204400000000002
13.608676827688999,180,0.110045
13.859794858820129,180,0.10804600000000002
14.121093504958576,180,0.10604700000000002
14.391587117977732,180,0.10404800000000002
14.674590095170139,180,0.10204900000000001
14.96626866822667,180,0.10005000000000001
15.272347435747713,180,0.09805100000000001
15.59042597169068,180,0.09605200000000003
15.92163503843611,180,0.09405300000000001
16.266210874015343,180,0.09205400000000001
16.627091855638753,180,0.09005500000000002
17.004787316394868,180,0.08805600000000001
17.39886148699781,180,0.08605700000000001
17.81386053257759,180,0.08405800000000002
18.246951824623952,180,0.08205900000000002
18.70240727313095,180,0.08006
19.18007431282924,180,0.078061
19.682834862438572,180,0.076062
20.214636587778717,180,0.07406300000000002
20.766576617833394,180,0.072064
21.366142257099845,180,0.07006500000000002
21.995171374122812,180,0.06806600000000002
22.658089423921478,180,0.06606700000000001
23.365007915066478,180,0.06406800000000001
24.11158628342571,180,0.062069000000000006
24.912828621686455,180,0.06007000000000001
25.774244206028943,180,0.058071000000000005
26.692382879446008,180,0.05607200000000001
27.67786487569772,180,0.05407300000000001
28.740959773206004,180,0.05207400000000001
29.88556667590057,180,0.05007500000000001
31.126075168495902,180,0.048076000000000015
32.45239846945589,180,0.04607700000000001
33.82025297252357,180,0.044078000000000006
35.4165789130743,180,0.04207900000000001
37.18494682725824,180,0.040080000000000005
39.144741113260075,180,0.038081000000000004
41.17543725699727,180,0.036082
43.58245699716244,180,0.03408300000000001
46.271786614114696,180,0.03208400000000001
49.21635132000005,180,0.030085000000000004
52.205947187694655,180,0.028086000000000003
56.4605897777978,180,0.026087000000000003
61.1343927558603,180,0.024088000000000005
66.31480385420579,180,0.022089
72.49868306142218,180,0.02009
80.06171000041711,180,0.018091
89.96936462162206,180,0.016092000000000002
101.08844750674999,180,0.014093000000000001
116.80286512340734,180,0.012094000000000002
135.03365308702234,180,0.010095
