percent_speed,rotation_speed(°/s)
0,9.278012292221277
10,39.30215247415077
20,69.14113168926006
30,98.78112184716905
40,128.23456872486463
50,157.41911528405515
60,187.57834346290602
70,215.18098399165373
80,237.38294544753435
90,260.67911947523174
100,285.09898598780296
